method,log_accuracy_sigma=0.30,log_accuracy_sigma=0.50,log_accuracy_sigma=0.70,log_accuracy_sigma=1.00,log_accuracy_sigma=1.50,log_accuracy_sigma=1.70,log_accuracy_sigma=2.00,MSE_sigma=0.30,MSE_sigma=0.50,MSE_sigma=0.70,MSE_sigma=1.00,MSE_sigma=1.50,MSE_sigma=1.70,MSE_sigma=2.00,running_time_sigma=0.30,running_time_sigma=0.50,running_time_sigma=0.70,running_time_sigma=1.00,running_time_sigma=1.50,running_time_sigma=1.70,running_time_sigma=2.00
brentq,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,5.396,5.795,5.123,5.731,5.748,5.219,6.043
brenth,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,4.306460343,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,5.455,5.419,5.238,5.499,5.505,4.955,5.637
ridder,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,4.306460342,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,7.114,7.244,7.233,7.316,7.703,7.097,8.261
scipy_newton,4.149978136,4.112759479,4.125533719,4.139350706,4.122784126,4.179527367,4.116274659,5.85E+17,7.04E+23,7.80E+37,1.40E+19,7.82E+26,8.81E+31,6.69E+19,3.029,3.068,3.083,3.346,3.523,3.286,4.074
bisection,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,4.306460305,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,45.901,46.035,46.38,45.936,45.397,59.729,46.565
mullerBisection,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,4.306461131,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,0.001001017,32.53,33.461,33.679,31.16,34.256,31.618,32.76
newton,4.074877684,4.119030691,4.197569513,4.126677663,4.071597282,3.533860355,3.371820039,5.82E+198,5.81E+111,2.06E+42,1.55E+181,6.80E+19,6.54E+303,1.34E+47,4.097,4.068,4.24,3.774,3.639,3.682,3.122
halley,4.226468009,3.932856088,3.77350192,3.644566343,3.561883553,3.409329497,3.135998856,0.0008426,0.00104206,0.00167653,0.002811982,0.004907489,0.005869081,0.007530541,2.206,2.172,2.199,2.049,2.264,2.322,2.232
new_newton,4.280173907,4.280173907,4.280173907,4.280173907,4.280173907,4.280173907,4.280173907,7718624.212,7718624.212,7718624.212,7718624.212,7718624.212,7718624.212,7718624.212,12.547,11.59,12.338,11.788,12.769,13.645,12.617
new_halley,4.243327514,4.243327514,4.243327514,4.243327514,4.243327514,4.243327514,4.243327514,2485945.88,2485945.88,2485945.88,2485945.88,2485945.88,2485945.88,2485945.88,11.021,10.442,11.458,11.415,10.945,11.505,11.848